sentence,label
The hunter killed the lion.,active
 He was given a book for his birthday.,passive
The dinner is prepared by her.,passive
Someone has cleaned the windows.,active
They will send him away to school.,active
Astha was learning French,active
The windows have been cleaned.,passive
A diagram is being drawn by Bob,passive
The newspaper is being read by him,passive
Kabaddi was being played by her,passive
The lion was killed by the hunter,passive
He will be sent away to school.,passive
She won the match,active
I gave him a book for his birthday.,active
Juice fills the jar.,active
The meeting was called off.,passive
Hens lay eggs.,active
He created this masterpiece,active
They called off the meeting.,active
